rna-XM_005852746.1	gene-TOMM6	TOMM6
rna-XM_014533884.1	gene-LOC106724870	LOC106724870
rna-XM_005853083.2	gene-LOC102259043	LOC102259043
gene-LOC102259628	gene-LOC102259628	LOC102259628
rna-XM_005853085.1	gene-LOC102259927	LOC102259927
gene-LOC106724874	gene-LOC106724874	LOC106724874
rna-XM_005853086.2	gene-LOC102260231	LOC102260231
rna-XM_005853087.2	gene-LOC102260536	LOC102260536
gene-LOC102260830	gene-LOC102260830	LOC102260830
gene-LOC106724879	gene-LOC106724879	LOC106724879
rna-XM_005853088.2	gene-LOC102261108	LOC102261108
gene-LOC102261400	gene-LOC102261400	LOC102261400
rna-XM_005853090.2	gene-LOC102261702	LOC102261702
gene-LOC102261995	gene-LOC102261995	LOC102261995
rna-XM_014533956.1	gene-LOC106724893	LOC106724893
rna-XM_005853091.2	gene-LOC102262301	LOC102262301
gene-LOC102262618	gene-LOC102262618	LOC102262618
rna-XM_005853092.2	gene-LOC102262930	LOC102262930
rna-XM_014533973.1	gene-LOC106724898	LOC106724898
gene-LOC106724899	gene-LOC106724899	LOC106724899
rna-XM_014533985.1	gene-PPY	PPY
rna-XM_005853095.2	gene-LOC102263845	LOC102263845
gene-LOC102264160	gene-LOC102264160	LOC102264160
rna-XR_312982.2	gene-LOC102238807	LOC102238807
gene-LOC106724904	gene-LOC106724904	LOC106724904
rna-XM_014534012.1	gene-LOC106724906	LOC106724906
rna-XR_001360738.1	gene-LOC106724907	LOC106724907
rna-XR_001360739.1	gene-LOC106724909	LOC106724909
rna-XM_005853097.2	gene-LOC102239323	LOC102239323
rna-XM_005853098.2	gene-LOC102239627	LOC102239627
rna-XM_005853100.2	gene-LOC102240255	LOC102240255
rna-XM_014534041.1	gene-LOC106724914	LOC106724914
rna-XR_001360746.1	gene-LOC106724915	LOC106724915
rna-XM_005853101.1	gene-LOC102240559	LOC102240559
id-LOC102240860	gene-LOC102240860	LOC102240860
rna-XM_005853102.2	gene-LOC102241163	LOC102241163
rna-XR_001360750.1	gene-LOC106724920	LOC106724920
rna-XM_005853103.1	gene-LOC102241468	LOC102241468
rna-XM_014534096.1	gene-LOC106724924	LOC106724924
rna-XR_001360771.1	gene-LOC106724945	LOC106724945
rna-XM_014534140.1	gene-LRRTM4	LRRTM4
rna-XM_014534128.1	gene-LRRTM4	LRRTM4
rna-XM_014534133.1	gene-LRRTM4	LRRTM4
rna-XM_005853105.2	gene-LRRTM4	LRRTM4
rna-XM_005853106.2	gene-LRRTM4	LRRTM4
rna-XM_005853107.2	gene-LRRTM4	LRRTM4
rna-XM_005853108.2	gene-LRRTM4	LRRTM4
gene-LOC102246362	gene-LOC102246362	LOC102246362
rna-XM_005853110.2	gene-LOC102243207	LOC102243207
rna-XM_014534206.1	gene-LOC102243487	LOC102243487
rna-XM_005853111.2	gene-GCFC2	GCFC2
rna-XM_014534155.1	gene-GCFC2	GCFC2
rna-XM_014534157.1	gene-GCFC2	GCFC2
rna-XM_014534159.1	gene-GCFC2	GCFC2
rna-XM_005853112.2	gene-MRPL19	MRPL19
rna-XM_005853115.2	gene-EVA1A	EVA1A
rna-XM_005853114.2	gene-EVA1A	EVA1A
rna-XM_005853117.2	gene-EVA1A	EVA1A
rna-XM_005853113.2	gene-EVA1A	EVA1A
rna-XM_005853116.2	gene-EVA1A	EVA1A
gene-LOC102245448	gene-LOC102245448	LOC102245448
rna-XM_005853118.2	gene-TACR1	TACR1
gene-LOC102246675	gene-LOC102246675	LOC102246675
rna-XM_005853120.2	gene-POLE4	POLE4
rna-XM_005853119.2	gene-HK2	HK2
gene-LOC102247289	gene-LOC102247289	LOC102247289
rna-XM_014534221.1	gene-YIPF7	YIPF7
rna-XM_014534229.1	gene-YIPF7	YIPF7
rna-XM_014534217.1	gene-YIPF7	YIPF7
rna-XM_014534223.1	gene-YIPF7	YIPF7
rna-XM_014534226.1	gene-YIPF7	YIPF7
rna-XM_014534232.1	gene-YIPF7	YIPF7
rna-XM_005853164.2	gene-GUF1	GUF1
rna-XM_005853122.2	gene-GNPDA2	GNPDA2
rna-XM_005853123.2	gene-GNPDA2	GNPDA2
rna-XM_014534245.1	gene-GNPDA2	GNPDA2
rna-XR_001360883.1	gene-LOC106725032	LOC106725032
gene-LOC102248361	gene-LOC102248361	LOC102248361
rna-XM_005853124.2	gene-GABRG1	GABRG1
rna-XM_014534256.1	gene-GABRA2	GABRA2
rna-XM_014534261.1	gene-GABRA2	GABRA2
rna-XM_014534253.1	gene-GABRA2	GABRA2
rna-XR_312983.2	gene-LOC102249259	LOC102249259
gene-LOC102249454	gene-LOC102249454	LOC102249454
rna-XM_014534276.1	gene-LOC102249757	LOC102249757
rna-XM_005853126.2	gene-LOC102249757	LOC102249757
rna-XM_014534270.1	gene-LOC102249757	LOC102249757
rna-XM_005853127.2	gene-GABRA4	GABRA4
rna-XM_005853131.2	gene-GABRB1	GABRB1
rna-XM_005853130.2	gene-COMMD8	COMMD8
rna-XM_005853138.2	gene-ATP10D	ATP10D
rna-XM_005853133.2	gene-ATP10D	ATP10D
rna-XM_005853134.2	gene-ATP10D	ATP10D
rna-XM_005853135.2	gene-ATP10D	ATP10D
rna-XM_005853136.2	gene-ATP10D	ATP10D
rna-XM_005853137.2	gene-ATP10D	ATP10D
rna-XM_014534317.1	gene-CORIN	CORIN
rna-XM_014534321.1	gene-CORIN	CORIN
rna-XM_005853139.2	gene-CORIN	CORIN
rna-XM_014534326.1	gene-NFXL1	NFXL1
rna-XM_014534331.1	gene-NFXL1	NFXL1
rna-XM_005853140.2	gene-CNGA1	CNGA1
rna-XM_005853141.2	gene-NIPAL1	NIPAL1
rna-XR_001360816.1	gene-LOC106724989	LOC106724989
rna-XM_005853143.2	gene-TXK	TXK
rna-XM_014534358.1	gene-TEC	TEC
rna-XM_014534361.1	gene-TEC	TEC
gene-LOC106725028	gene-LOC106725028	LOC106725028
rna-XM_014534593.1	gene-SLAIN2	SLAIN2
rna-XM_005853167.2	gene-SLC10A4	SLC10A4
rna-XR_312984.2	gene-LOC102254516	LOC102254516
rna-XM_014534421.1	gene-FRYL	FRYL
rna-XM_014534382.1	gene-FRYL	FRYL
rna-XM_014534391.1	gene-FRYL	FRYL
rna-XM_014534398.1	gene-FRYL	FRYL
rna-XM_014534402.1	gene-FRYL	FRYL
rna-XM_014534435.1	gene-FRYL	FRYL
rna-XM_005853147.2	gene-FRYL	FRYL
rna-XM_014534370.1	gene-FRYL	FRYL
rna-XM_014534378.1	gene-FRYL	FRYL
rna-XM_014534385.1	gene-FRYL	FRYL
rna-XM_014534396.1	gene-FRYL	FRYL
rna-XM_014534429.1	gene-FRYL	FRYL
rna-XM_014534411.1	gene-FRYL	FRYL
rna-XM_014534425.1	gene-FRYL	FRYL
gene-LOC102261401	gene-LOC102261401	LOC102261401
rna-XM_014534455.1	gene-OCIAD1	OCIAD1
rna-XM_005853152.2	gene-OCIAD1	OCIAD1
rna-XM_005853148.2	gene-OCIAD1	OCIAD1
rna-XM_005853150.2	gene-OCIAD1	OCIAD1
rna-XM_005853151.2	gene-OCIAD1	OCIAD1
rna-XM_014534458.1	gene-OCIAD1	OCIAD1
rna-XM_005853149.2	gene-OCIAD1	OCIAD1
rna-XM_014534448.1	gene-OCIAD1	OCIAD1
rna-XM_014534451.1	gene-OCIAD1	OCIAD1
rna-XR_001360846.1	gene-LOC106725009	LOC106725009
rna-XM_014534476.1	gene-OCIAD2	OCIAD2
rna-XM_005853153.2	gene-OCIAD2	OCIAD2
gene-LOC102257231	gene-LOC102257231	LOC102257231
rna-XM_014534483.1	gene-CWH43	CWH43
rna-XM_014534485.1	gene-CWH43	CWH43
rna-XM_005853157.2	gene-DCUN1D4	DCUN1D4
rna-XM_005853156.2	gene-DCUN1D4	DCUN1D4
rna-XM_014534520.1	gene-DCUN1D4	DCUN1D4
rna-XM_014534497.1	gene-DCUN1D4	DCUN1D4
rna-XM_014534493.1	gene-DCUN1D4	DCUN1D4
rna-XM_014534511.1	gene-DCUN1D4	DCUN1D4
rna-XM_014534516.1	gene-DCUN1D4	DCUN1D4
rna-XM_014534523.1	gene-DCUN1D4	DCUN1D4
rna-XM_014534531.1	gene-LRRC66	LRRC66
rna-XM_005853161.2	gene-SGCB	SGCB
rna-XR_001360865.1	gene-LOC106725025	LOC106725025
rna-XM_014534612.1	gene-SPATA18	SPATA18
rna-XR_001360896.1	gene-LOC106725039	LOC106725039
rna-XM_005853163.2	gene-USP46	USP46
rna-XM_014534554.1	gene-USP46	USP46
rna-XM_014534551.1	gene-USP46	USP46
rna-XR_312985.2	gene-LOC102260034	LOC102260034
rna-XM_005853191.1	gene-LOC102242592	LOC102242592
rna-XM_005853171.2	gene-NLRP3	NLRP3
rna-XM_005853172.2	gene-NLRP3	NLRP3
rna-XM_005853173.2	gene-NLRP3	NLRP3
rna-XM_005853174.2	gene-NLRP3	NLRP3
rna-XM_014534659.1	gene-NLRP3	NLRP3
rna-XR_001360938.1	gene-LOC106725069	LOC106725069
rna-XR_001360939.1	gene-LOC106725069	LOC106725069
gene-LOC102242902	gene-LOC102242902	LOC102242902
rna-XM_005853175.2	gene-LOC102263543	LOC102263543
rna-XR_001360902.1	gene-LOC102263543	LOC102263543
rna-XR_001360903.1	gene-LOC102263543	LOC102263543
gene-LOC102263244	gene-LOC102263244	LOC102263244
gene-LOC106725070	gene-LOC106725070	LOC106725070
rna-XM_005853176.2	gene-JMJD4	JMJD4
rna-XM_014534707.1	gene-JMJD4	JMJD4
rna-XM_014534713.1	gene-JMJD4	JMJD4
rna-XM_014534715.1	gene-JMJD4	JMJD4
rna-XM_014534718.1	gene-JMJD4	JMJD4
rna-XM_005853178.2	gene-SNAP47	SNAP47
rna-XM_005853179.2	gene-SNAP47	SNAP47
rna-XM_005853180.2	gene-SNAP47	SNAP47
gene-LOC102243208	gene-LOC102243208	LOC102243208
gene-LOC102242289	gene-LOC102242289	LOC102242289
gene-LOC102243488	gene-LOC102243488	LOC102243488
rna-XM_005853192.2	gene-PRSS38	PRSS38
rna-XM_014534851.1	gene-WNT9A	WNT9A
rna-XR_001360920.1	gene-LOC106725053	LOC106725053
rna-XM_014534856.1	gene-WNT3A	WNT3A
rna-XM_014534732.1	gene-ARF1	ARF1
rna-XR_001360918.1	gene-LOC106725052	LOC106725052
rna-XR_001360917.1	gene-LOC106725052	LOC106725052
rna-XR_001360919.1	gene-LOC106725052	LOC106725052
rna-XM_005853187.2	gene-MRPL55	MRPL55
rna-XM_005853186.2	gene-MRPL55	MRPL55
rna-XM_014534782.1	gene-MRPL55	MRPL55
rna-XM_014534788.1	gene-MRPL55	MRPL55
rna-XM_014534768.1	gene-MRPL55	MRPL55
rna-XM_005853188.2	gene-GUK1	GUK1
rna-XM_005853189.2	gene-GUK1	GUK1
rna-XM_014534756.1	gene-GUK1	GUK1
rna-XM_005853190.2	gene-GUK1	GUK1
rna-XM_014534860.1	gene-GJC2	GJC2
rna-XM_014534793.1	gene-IBA57	IBA57
rna-XM_014534796.1	gene-IBA57	IBA57
rna-XM_014534801.1	gene-IBA57	IBA57
rna-XM_014534869.1	gene-LOC106725072	LOC106725072
rna-XM_014534875.1	gene-LOC102245251	LOC102245251
rna-XM_014534916.1	gene-WDFY4	WDFY4
rna-XM_005853197.2	gene-LRRC18	LRRC18
rna-XM_014534923.1	gene-VSTM4	VSTM4
rna-XM_014534934.1	gene-FAM170B	FAM170B
rna-XM_014534886.1	gene-LOC102247580	LOC102247580
rna-XM_014534893.1	gene-LOC102247580	LOC102247580
rna-XM_014534900.1	gene-LOC102247580	LOC102247580
rna-XM_005853198.2	gene-LOC102245849	LOC102245849
rna-XM_005853205.2	gene-DRGX	DRGX
rna-XM_005853199.2	gene-ERCC6	ERCC6
rna-XM_005853206.1	gene-CHAT	CHAT
gene-LOC102248461	gene-LOC102248461	LOC102248461
rna-XM_014534970.1	gene-LOC102249656	LOC102249656
gene-LOC102249068	gene-LOC102249068	LOC102249068
gene-LOC102249957	gene-LOC102249957	LOC102249957
gene-LOC102249358	gene-LOC102249358	LOC102249358
rna-XM_014534978.1	gene-LOC102250256	LOC102250256
rna-XR_001360966.1	gene-LOC106725090	LOC106725090
gene-LOC102250567	gene-LOC102250567	LOC102250567
gene-LOC102253118	gene-LOC102253118	LOC102253118
gene-LOC102251635	gene-LOC102251635	LOC102251635
rna-XM_005853208.2	gene-FXYD4	FXYD4
rna-XM_005853210.2	gene-HNRNPF	HNRNPF
rna-XM_014534993.1	gene-HNRNPF	HNRNPF
rna-XM_005853211.2	gene-ZNF239	ZNF239
rna-XM_005853213.2	gene-ZNF32	ZNF32
rna-XM_005853212.2	gene-ZNF32	ZNF32
rna-XM_005853214.2	gene-ZNF32	ZNF32
rna-XM_014535020.1	gene-ZNF32	ZNF32
rna-XM_014535043.1	gene-LOC102258743	LOC102258743
rna-XM_014535050.1	gene-LOC102253412	LOC102253412
rna-XM_014535035.1	gene-LOC102253718	LOC102253718
rna-XM_005853217.2	gene-LOC102253718	LOC102253718
rna-XM_014535162.1	gene-TMSB10	TMSB10
rna-XM_014535120.1	gene-LOC102254321	LOC102254321
rna-XM_005853227.2	gene-LOC102259044	LOC102259044
rna-XM_014535115.1	gene-LOC102259044	LOC102259044
gene-LOC102255516	gene-LOC102255516	LOC102255516
rna-XM_005853228.2	gene-LOC102259329	LOC102259329
rna-XM_014535230.1	gene-LOC102259629	LOC102259629
gene-LOC102255205	gene-LOC102255205	LOC102255205
gene-LOC102259928	gene-LOC102259928	LOC102259928
rna-XM_014535101.1	gene-LOC102260233	LOC102260233
rna-XR_001361013.1	gene-LOC106725143	LOC106725143
rna-XM_005853220.2	gene-LOC102254907	LOC102254907
rna-XM_014535088.1	gene-LOC102254907	LOC102254907
rna-XM_014535094.1	gene-LOC102254907	LOC102254907
rna-XM_014535066.1	gene-LOC106725106	LOC106725106
rna-XM_014535128.1	gene-LOC106723586	LOC106723586
rna-XM_014535106.1	gene-LOC102260538	LOC102260538
rna-XM_014535234.1	gene-LOC102260832	LOC102260832
gene-LOC102261110	gene-LOC102261110	LOC102261110
rna-XM_005853221.2	gene-LOC102255815	LOC102255815
rna-XM_014535079.1	gene-LOC102261402	LOC102261402
rna-XM_014535080.1	gene-LOC102261402	LOC102261402
rna-XM_014535075.1	gene-LOC102261402	LOC102261402
rna-XM_014535071.1	gene-LOC102256419	LOC102256419
gene-LOC102256118	gene-LOC102256118	LOC102256118
gene-LOC102261704	gene-LOC102261704	LOC102261704
rna-XR_001361014.1	gene-LOC106725144	LOC106725144
rna-XM_014535180.1	gene-LOC106725145	LOC106725145
gene-LOC106725158	gene-LOC106725158	LOC106725158
rna-XM_014535187.1	gene-LOC102257233	LOC102257233
rna-XM_014535214.1	gene-LOC102256930	LOC102256930
gene-LOC102262303	gene-LOC102262303	LOC102262303
gene-LOC102262619	gene-LOC102262619	LOC102262619
rna-XM_014535210.1	gene-LOC106723627	LOC106723627
rna-XM_014535193.1	gene-LOC102257843	LOC102257843
rna-XM_014535205.1	gene-LOC102257535	LOC102257535
rna-XM_005853225.2	gene-LOC102257535	LOC102257535
gene-LOC102258143	gene-LOC102258143	LOC102258143
rna-XM_014535250.1	gene-LOC106725176	LOC106725176
rna-XM_014535400.1	gene-LOC106725197	LOC106725197
rna-XM_005853232.2	gene-LOC102262931	LOC102262931
rna-XM_014535258.1	gene-LOC102262931	LOC102262931
rna-XR_001361049.1	gene-LOC106725179	LOC106725179
rna-XM_014535287.1	gene-PPP4R4	PPP4R4
rna-XM_014535304.1	gene-PPP4R4	PPP4R4
rna-XM_014535276.1	gene-PPP4R4	PPP4R4
rna-XM_014535284.1	gene-PPP4R4	PPP4R4
rna-XM_014535296.1	gene-PPP4R4	PPP4R4
rna-XM_014535299.1	gene-PPP4R4	PPP4R4
rna-XM_014535278.1	gene-PPP4R4	PPP4R4
rna-XM_005853233.2	gene-SERPINA10	SERPINA10
rna-XM_005853234.2	gene-SERPINA10	SERPINA10
rna-XM_005853235.2	gene-SERPINA10	SERPINA10
rna-XM_005853236.2	gene-SERPINA6	SERPINA6
rna-XM_014535340.1	gene-LOC102238925	LOC102238925
rna-XM_005853237.2	gene-LOC102238599	LOC102238599
rna-XM_014535368.1	gene-SERPINA11	SERPINA11
rna-XM_014535361.1	gene-SERPINA11	SERPINA11
rna-XM_014535346.1	gene-SERPINA11	SERPINA11
rna-XM_014535350.1	gene-SERPINA11	SERPINA11
rna-XM_014535356.1	gene-SERPINA11	SERPINA11
rna-XM_014535363.1	gene-SERPINA11	SERPINA11
rna-XR_312987.2	gene-LOC102239236	LOC102239236
rna-XM_014535373.1	gene-SERPINA9	SERPINA9
rna-XM_005853238.2	gene-SERPINA12	SERPINA12
rna-XM_005853240.2	gene-SERPINA4	SERPINA4
rna-XM_014535388.1	gene-SERPINA5	SERPINA5
rna-XM_014535408.1	gene-LOC102241775	LOC102241775
rna-XM_005853242.2	gene-LOC102240560	LOC102240560
rna-XR_001361069.1	gene-LOC106725202	LOC106725202
rna-XM_014535414.1	gene-GSC	GSC
rna-XM_014535429.1	gene-LOC106725203	LOC106725203
rna-XR_312988.2	gene-LOC102242381	LOC102242381
rna-XR_001361073.1	gene-LOC106725204	LOC106725204
rna-XR_001361072.1	gene-LOC106725204	LOC106725204
rna-XM_005853249.2	gene-LACC1	LACC1
rna-XM_005853247.2	gene-LACC1	LACC1
rna-XM_014535456.1	gene-LACC1	LACC1
rna-XM_005853248.2	gene-LACC1	LACC1
rna-XM_005853251.2	gene-CCDC122	CCDC122
gene-LOC102244257	gene-LOC102244257	LOC102244257
rna-XM_005853253.2	gene-ENOX1	ENOX1
rna-XM_014535489.1	gene-ENOX1	ENOX1
rna-XM_005853252.2	gene-ENOX1	ENOX1
rna-XM_005853254.2	gene-LOC102244553	LOC102244553
rna-XM_005853255.2	gene-LOC102244857	LOC102244857
gene-LOC102245449	gene-LOC102245449	LOC102245449
rna-XM_005853256.2	gene-FAM216B	FAM216B
rna-XM_005853257.2	gene-EPSTI1	EPSTI1
rna-XM_014535512.1	gene-DNAJC15	DNAJC15
gene-LOC102246678	gene-LOC102246678	LOC102246678
gene-LOC102245160	gene-LOC102245160	LOC102245160
gene-LOC102246985	gene-LOC102246985	LOC102246985
rna-XM_014535715.1	gene-LOC102251050	LOC102251050
rna-XM_014535719.1	gene-SIVA1	SIVA1
rna-XM_014535724.1	gene-ADSSL1	ADSSL1
rna-XR_001361087.1	gene-LOC106725217	LOC106725217
rna-XM_014535731.1	gene-INF2	INF2
rna-XM_005856348.2	gene-TDRD9	TDRD9
rna-XM_014535565.1	gene-RD3L	RD3L
rna-XM_014535555.1	gene-RD3L	RD3L
rna-XM_014535561.1	gene-RD3L	RD3L
rna-XR_001361091.1	gene-RD3L	RD3L
rna-XM_005853262.2	gene-LOC102247969	LOC102247969
rna-XR_001361093.1	gene-LOC106725223	LOC106725223
rna-XM_005853266.2	gene-PPP1R13B	PPP1R13B
rna-XM_005853265.2	gene-ZFYVE21	ZFYVE21
rna-XM_005853264.2	gene-ZFYVE21	ZFYVE21
rna-XM_005853263.2	gene-ZFYVE21	ZFYVE21
rna-XR_312990.2	gene-LOC102249261	LOC102249261
rna-XR_001361107.1	gene-LOC102249261	LOC102249261
rna-XM_005856349.2	gene-XRCC3	XRCC3
rna-XR_001361108.1	gene-LOC106725235	LOC106725235
rna-XM_014535592.1	gene-KLC1	KLC1
rna-XM_014535594.1	gene-KLC1	KLC1
rna-XR_312992.2	gene-LOC102249856	LOC102249856
rna-XM_005856350.2	gene-APOPT1	APOPT1
rna-XM_014535611.1	gene-BAG5	BAG5
rna-XM_014535750.1	gene-TRMT61A	TRMT61A
rna-XM_014535752.1	gene-CKB	CKB
rna-XM_014535693.1	gene-MARK3	MARK3
rna-XM_014535654.1	gene-MARK3	MARK3
rna-XM_014535673.1	gene-MARK3	MARK3
rna-XM_014535677.1	gene-MARK3	MARK3
rna-XM_014535685.1	gene-MARK3	MARK3
rna-XM_014535664.1	gene-MARK3	MARK3
rna-XM_014535668.1	gene-MARK3	MARK3
rna-XM_014535676.1	gene-MARK3	MARK3
rna-XM_014535633.1	gene-MARK3	MARK3
rna-XM_014535659.1	gene-MARK3	MARK3
rna-XM_014535622.1	gene-MARK3	MARK3
rna-XM_014535636.1	gene-MARK3	MARK3
rna-XM_014535644.1	gene-MARK3	MARK3
rna-XM_014535650.1	gene-MARK3	MARK3
rna-XM_005853271.2	gene-EIF5	EIF5
rna-XM_005856354.1	gene-LOC102254322	LOC102254322
rna-XM_005856355.2	gene-LOC102254613	LOC102254613
rna-XM_014535767.1	gene-LOC106725265	LOC106725265
rna-XM_005856374.1	gene-KCNK1	KCNK1
rna-XM_014535894.1	gene-LOC102259842	LOC102259842
rna-XM_014535896.1	gene-PCNXL2	PCNXL2
rna-XM_014535905.1	gene-NTPCR	NTPCR
rna-XM_014535917.1	gene-MAP10	MAP10
rna-XM_014535922.1	gene-SIPA1L2	SIPA1L2
rna-XR_001361132.1	gene-LOC106725266	LOC106725266
rna-XM_014535935.1	gene-DISC1	DISC1
rna-XM_005856356.2	gene-TSNAX	TSNAX
rna-XM_005856357.2	gene-TSNAX	TSNAX
rna-XM_005856381.2	gene-EGLN1	EGLN1
rna-XR_001361138.1	gene-LOC106725273	LOC106725273
rna-XM_014535802.1	gene-SPRTN	SPRTN
rna-XM_014535813.1	gene-SPRTN	SPRTN
rna-XM_005856359.2	gene-SPRTN	SPRTN
rna-XM_014535793.1	gene-SPRTN	SPRTN
rna-XM_005856382.2	gene-EXOC8	EXOC8
rna-XM_005856360.2	gene-GNPAT	GNPAT
rna-XM_014535953.1	gene-LOC102262205	LOC102262205
rna-XM_005856361.2	gene-TRIM67	TRIM67
rna-XM_014535824.1	gene-FAM89A	FAM89A
rna-XM_014535836.1	gene-ARV1	ARV1
rna-XM_005856363.2	gene-ARV1	ARV1
rna-XM_005856364.2	gene-TTC13	TTC13
rna-XM_005856366.2	gene-TTC13	TTC13
rna-XM_005856367.2	gene-TTC13	TTC13
rna-XM_005856365.2	gene-TTC13	TTC13
rna-XM_005856368.2	gene-TTC13	TTC13
rna-XM_014535849.1	gene-TTC13	TTC13
rna-XM_014535852.1	gene-TTC13	TTC13
rna-XR_001361146.1	gene-LOC106725285	LOC106725285
rna-XM_014535958.1	gene-CAPN9	CAPN9
rna-XM_014535963.1	gene-AGT	AGT
rna-XM_014535966.1	gene-COG2	COG2
rna-XM_014535970.1	gene-PGBD5	PGBD5
rna-XM_014535979.1	gene-GALNT2	GALNT2
rna-XM_014535990.1	gene-URB2	URB2
rna-XM_014535997.1	gene-TAF5L	TAF5L
rna-XM_005856391.2	gene-ABCB10	ABCB10
rna-XM_005856392.2	gene-NUP133	NUP133
rna-XM_014536009.1	gene-ACTA1	ACTA1
rna-XM_014536012.1	gene-CCSAP	CCSAP
rna-XR_001361187.1	gene-LOC106725322	LOC106725322
rna-XR_001361147.1	gene-LOC106725289	LOC106725289
rna-XM_005856370.2	gene-RHOU	RHOU
rna-XM_014536019.1	gene-FMN2	FMN2
rna-XM_005856395.1	gene-GREM2	GREM2
rna-XM_014535880.1	gene-RGS7	RGS7
rna-XM_005856372.2	gene-RGS7	RGS7
rna-XM_005856373.2	gene-RGS7	RGS7
rna-XR_001361188.1	gene-LOC106725323	LOC106725323
rna-XM_005856397.1	gene-OTUD6A	OTUD6A
rna-XM_005856398.2	gene-LOC102242085	LOC102242085
rna-XM_005856396.2	gene-LOC102240864	LOC102240864
gene-LOC102241166	gene-LOC102241166	LOC102241166
gene-LOC102242382	gene-LOC102242382	LOC102242382
rna-XM_005856399.2	gene-TMTC4	TMTC4
rna-XM_014536067.1	gene-TMTC4	TMTC4
gene-LOC102243667	gene-LOC102243667	LOC102243667
rna-XM_014536102.1	gene-GGACT	GGACT
rna-XM_014536081.1	gene-PCCA	PCCA
rna-XM_005856400.2	gene-PCCA	PCCA
rna-XM_014536076.1	gene-PCCA	PCCA
rna-XM_014536072.1	gene-PCCA	PCCA
rna-XM_005856403.2	gene-ZIC2	ZIC2
rna-XM_005856404.2	gene-ZIC5	ZIC5
rna-XM_014536117.1	gene-CLYBL	CLYBL
rna-XR_312993.2	gene-LOC102243294	LOC102243294
rna-XM_014536157.1	gene-LOC106725351	LOC106725351
rna-XM_005856406.2	gene-LOC102245451	LOC102245451
gene-LOC106725346	gene-LOC106725346	LOC106725346
gene-LOC102245746	gene-LOC102245746	LOC102245746
rna-XR_001361219.1	gene-LOC106725349	LOC106725349
rna-XR_001361221.1	gene-LOC106725350	LOC106725350
rna-XM_014536136.1	gene-LOC102246877	LOC102246877
rna-XM_014536130.1	gene-LOC102246877	LOC102246877
rna-XM_005856409.2	gene-LOC102246575	LOC102246575
rna-XM_014536172.1	gene-LOC106725355	LOC106725355
rna-XM_014536179.1	gene-LOC106725356	LOC106725356
gene-LOC106725528	gene-LOC106725528	LOC106725528
rna-XM_005856502.1	gene-KCNU1	KCNU1
gene-LOC102247482	gene-LOC102247482	LOC102247482
rna-XR_001361237.1	gene-LOC106725357	LOC106725357
rna-XM_005856503.2	gene-ZNF703	ZNF703
rna-XM_005856412.2	gene-ERLIN2	ERLIN2
rna-XM_005856411.2	gene-ERLIN2	ERLIN2
rna-XM_014536196.1	gene-PROSC	PROSC
rna-XM_014536190.1	gene-PROSC	PROSC
rna-XM_014536854.1	gene-ADGRA2	ADGRA2
rna-XM_005856414.2	gene-BRF2	BRF2
rna-XM_014536859.1	gene-RAB11FIP1	RAB11FIP1
gene-LOC102249262	gene-LOC102249262	LOC102249262
rna-XM_014536220.1	gene-GOT1L1	GOT1L1
rna-XM_005856506.2	gene-GOT1L1	GOT1L1
rna-XM_014536211.1	gene-GOT1L1	GOT1L1
rna-XM_014536215.1	gene-GOT1L1	GOT1L1
rna-XM_005856507.2	gene-ADRB3	ADRB3
rna-XR_001361248.1	gene-LOC106725366	LOC106725366
rna-XR_001361247.1	gene-LOC106725365	LOC106725365
rna-XM_014536873.1	gene-LOC102250152	LOC102250152
rna-XM_005856508.2	gene-EIF4EBP1	EIF4EBP1
rna-XR_001361266.1	gene-LOC106725379	LOC106725379
rna-XR_001361267.1	gene-LOC106725379	LOC106725379
rna-XM_014536247.1	gene-ASH2L	ASH2L
rna-XM_005856416.2	gene-ASH2L	ASH2L
rna-XM_005856417.2	gene-ASH2L	ASH2L
rna-XM_005856418.2	gene-ASH2L	ASH2L
rna-XM_005856419.2	gene-ASH2L	ASH2L
rna-XM_005856415.2	gene-ASH2L	ASH2L
rna-XM_005856420.2	gene-ASH2L	ASH2L
gene-LOC102248854	gene-LOC102248854	LOC102248854
rna-XM_005856423.2	gene-STAR	STAR
rna-XM_014536270.1	gene-LSM1	LSM1
rna-XM_014536278.1	gene-LSM1	LSM1
rna-XM_014536280.1	gene-LSM1	LSM1
rna-XM_005856425.2	gene-BAG4	BAG4
rna-XM_014536288.1	gene-LOC102251939	LOC102251939
rna-XM_014536296.1	gene-DDHD2	DDHD2
rna-XM_005856429.2	gene-PLPP5	PLPP5
rna-XM_014536314.1	gene-WHSC1L1	WHSC1L1
rna-XM_014536320.1	gene-WHSC1L1	WHSC1L1
rna-XM_014536316.1	gene-WHSC1L1	WHSC1L1
rna-XM_005856430.2	gene-WHSC1L1	WHSC1L1
rna-XM_005856431.2	gene-WHSC1L1	WHSC1L1
rna-XM_014536308.1	gene-WHSC1L1	WHSC1L1
